key	date	value
Algiers, Algeria	1892	0
Algiers, Algeria	1893	0
Algiers, Algeria	1894	0
Algiers, Algeria	1895	119
Algiers, Algeria	1896	13
Algiers, Algeria	1897	0
Algiers, Algeria	1898	0
Algiers, Algeria	1899	0
Algiers, Algeria	1900	0
Algiers, Algeria	1901	0
Algiers, Algeria	1902	3
Algiers, Algeria	1903	129
Algiers, Algeria	1904	19
Algiers, Algeria	1905	0
Algiers, Algeria	1906	0
Algiers, Algeria	1907	0
Algiers, Algeria	1908	0
Algiers, Algeria	1909	14
Algiers, Algeria	1910	30
Algiers, Algeria	1911	102
Algiers, Algeria	1912	60
Algiers, Algeria	1913	145
Algiers, Algeria	1914	86
Algiers, Algeria	1915	0
Algiers, Algeria	1916	11
Algiers, Algeria	1917	238
Algiers, Algeria	1918	107
Algiers, Algeria	1919	411
Algiers, Algeria	1920	708
Algiers, Algeria	1921	747
Algiers, Algeria	1922	907
Algiers, Algeria	1923	749
Algiers, Algeria	1924	146
Almeria, Spain	1892	0
Almeria, Spain	1893	0
Almeria, Spain	1894	0
Almeria, Spain	1895	0
Almeria, Spain	1896	0
Almeria, Spain	1897	0
Almeria, Spain	1898	0
Almeria, Spain	1899	0
Almeria, Spain	1900	0
Almeria, Spain	1901	0
Almeria, Spain	1902	0
Almeria, Spain	1903	3
Almeria, Spain	1904	0
Almeria, Spain	1905	9
Almeria, Spain	1906	9
Almeria, Spain	1907	28
Almeria, Spain	1908	30
Almeria, Spain	1909	24
Almeria, Spain	1910	63
Almeria, Spain	1911	46
Almeria, Spain	1912	42
Almeria, Spain	1913	51
Almeria, Spain	1914	276
Almeria, Spain	1915	111
Almeria, Spain	1916	213
Almeria, Spain	1917	126
Almeria, Spain	1918	46
Almeria, Spain	1919	77
Almeria, Spain	1920	625
Almeria, Spain	1921	0
Almeria, Spain	1922	70
Almeria, Spain	1923	231
Almeria, Spain	1924	0
Amsterdam	1892	7296
Amsterdam	1893	3512
Amsterdam	1894	1656
Amsterdam	1895	1727
Amsterdam	1896	1368
Amsterdam	1897	1466
Amsterdam	1898	933
Amsterdam	1899	813
Amsterdam	1900	30
Amsterdam	1901	0
Amsterdam	1902	0
Amsterdam	1903	3
Amsterdam	1904	28
Amsterdam	1905	26
Amsterdam	1906	55
Amsterdam	1907	53
Amsterdam	1908	11
Amsterdam	1909	3
Amsterdam	1910	13
Amsterdam	1911	0
Amsterdam	1912	0
Amsterdam	1913	359
Amsterdam	1914	17
Amsterdam	1915	3
Amsterdam	1916	9
Amsterdam	1917	1399
Amsterdam	1918	974
Amsterdam	1919	1641
Amsterdam	1920	970
Amsterdam	1921	918
Amsterdam	1922	706
Amsterdam	1923	773
Amsterdam	1924	667
Antigua, British West Indies	1892	444
Antigua, British West Indies	1893	309
Antigua, British West Indies	1894	296
Antigua, British West Indies	1895	376
Antigua, British West Indies	1896	285
Antigua, British West Indies	1897	410
Antigua, British West Indies	1898	0
Antigua, British West Indies	1899	0
Antigua, British West Indies	1900	0
Antigua, British West Indies	1901	0
Antigua, British West Indies	1902	0
Antigua, British West Indies	1903	28
Antigua, British West Indies	1904	437
Antigua, British West Indies	1905	435
Antigua, British West Indies	1906	1579
Antigua, British West Indies	1907	1171
Antigua, British West Indies	1908	490
Antigua, British West Indies	1909	727
Antigua, British West Indies	1910	840
Antigua, British West Indies	1911	388
Antigua, British West Indies	1912	674
Antigua, British West Indies	1913	259
Antigua, British West Indies	1914	226
Antigua, British West Indies	1915	137
Antigua, British West Indies	1916	277
Antigua, British West Indies	1917	532
Antigua, British West Indies	1918	937
Antigua, British West Indies	1919	1079
Antigua, British West Indies	1920	784
Antigua, British West Indies	1921	999
Antigua, British West Indies	1922	1124
Antigua, British West Indies	1923	1346
Antigua, British West Indies	1924	2500
Antilla, Cuba	1892	0
Antilla, Cuba	1893	0
Antilla, Cuba	1894	0
Antilla, Cuba	1895	0
Antilla, Cuba	1896	0
Antilla, Cuba	1897	0
Antilla, Cuba	1898	0
Antilla, Cuba	1899	0
Antilla, Cuba	1900	0
Antilla, Cuba	1901	0
Antilla, Cuba	1902	0
Antilla, Cuba	1903	0
Antilla, Cuba	1904	0
Antilla, Cuba	1905	3
Antilla, Cuba	1906	2
Antilla, Cuba	1907	2
Antilla, Cuba	1908	0
Antilla, Cuba	1909	0
Antilla, Cuba	1910	0
Antilla, Cuba	1911	0
Antilla, Cuba	1912	2
Antilla, Cuba	1913	0
Antilla, Cuba	1914	1
Antilla, Cuba	1915	7
Antilla, Cuba	1916	7
Antilla, Cuba	1917	173
Antilla, Cuba	1918	109
Antilla, Cuba	1919	108
Antilla, Cuba	1920	208
Antilla, Cuba	1921	45
Antilla, Cuba	1922	117
Antilla, Cuba	1923	34
Antilla, Cuba	1924	0
Antofagasta, Chile	1892	0
Antofagasta, Chile	1893	30
Antofagasta, Chile	1894	76
Antofagasta, Chile	1895	115
Antofagasta, Chile	1896	154
Antofagasta, Chile	1897	4
Antofagasta, Chile	1898	0
Antofagasta, Chile	1899	0
Antofagasta, Chile	1900	0
Antofagasta, Chile	1901	0
Antofagasta, Chile	1902	0
Antofagasta, Chile	1903	67
Antofagasta, Chile	1904	56
Antofagasta, Chile	1905	198
Antofagasta, Chile	1906	91
Antofagasta, Chile	1907	41
Antofagasta, Chile	1908	14
Antofagasta, Chile	1909	92
Antofagasta, Chile	1910	1
Antofagasta, Chile	1911	49
Antofagasta, Chile	1912	48
Antofagasta, Chile	1913	400
Antofagasta, Chile	1914	289
Antofagasta, Chile	1915	43
Antofagasta, Chile	1916	39
Antofagasta, Chile	1917	303
Antofagasta, Chile	1918	352
Antofagasta, Chile	1919	296
Antofagasta, Chile	1920	609
Antofagasta, Chile	1921	1125
Antofagasta, Chile	1922	1110
Antofagasta, Chile	1923	717
Antofagasta, Chile	1924	905
Antwerp	1892	38932
Antwerp	1893	31259
Antwerp	1894	13010
Antwerp	1895	17181
Antwerp	1896	18284
Antwerp	1897	11539
Antwerp	1898	12345
Antwerp	1899	19539
Antwerp	1900	31098
Antwerp	1901	33211
Antwerp	1902	45144
Antwerp	1903	59892
Antwerp	1904	43987
Antwerp	1905	66951
Antwerp	1906	75158
Antwerp	1907	79283
Antwerp	1908	28472
Antwerp	1909	57983
Antwerp	1910	60193
Antwerp	1911	51565
Antwerp	1912	66331
Antwerp	1913	87524
Antwerp	1914	33719
Antwerp	1915	0
Antwerp	1916	0
Antwerp	1917	0
Antwerp	1918	3
Antwerp	1919	6501
